# time  hit_cache  total_cache  hit_cache/total_cache
2071.0000 261 1315 0.1985
2071.0000 262 1315 0.1992
2071.0000 263 1315 0.2000
2071.0000 264 1315 0.2008
2071.0000 265 1315 0.2015
2074.0000 266 1315 0.2023
2074.0000 267 1315 0.2030
2074.0000 268 1315 0.2038
2074.0000 269 1315 0.2046
2074.0000 270 1315 0.2053
2075.0000 271 1315 0.2061
2075.0000 272 1315 0.2068
2075.0000 273 1315 0.2076
2077.0000 274 1315 0.2084
2077.0000 275 1315 0.2091
2077.0000 276 1315 0.2099
2077.0000 277 1315 0.2106
2078.0000 278 1315 0.2114
2078.0000 279 1315 0.2122
2078.0000 280 1315 0.2129
2078.0000 281 1315 0.2137
2079.0000 282 1315 0.2144
2079.0000 283 1315 0.2152
2080.0000 284 1315 0.2160
2080.0000 285 1315 0.2167
2080.0000 286 1315 0.2175
2080.0000 287 1315 0.2183
2081.0000 288 1315 0.2190
2081.0000 289 1315 0.2198
2081.0000 290 1315 0.2205
2081.0000 291 1315 0.2213
2081.0000 292 1315 0.2221
2082.0000 293 1315 0.2228
2082.0000 294 1315 0.2236
2083.0000 295 1315 0.2243
2083.0000 296 1315 0.2251
2084.0000 297 1315 0.2259
2084.0000 298 1315 0.2266
2085.0000 299 1315 0.2274
2085.0000 300 1315 0.2281
2086.0000 301 1315 0.2289
2086.0000 302 1315 0.2297
2086.0000 303 1315 0.2304
2086.0000 304 1315 0.2312
2086.0000 305 1315 0.2319
2086.0000 306 1315 0.2327
2087.0000 307 1315 0.2335
2087.0000 308 1315 0.2342
2087.0000 309 1315 0.2350
2088.0000 310 1315 0.2357
2089.0000 311 1315 0.2365
2089.0000 312 1315 0.2373
2089.0000 313 1315 0.2380
2089.0000 314 1315 0.2388
2089.0000 315 1315 0.2395
2089.0000 316 1315 0.2403
2090.0000 317 1315 0.2411
2091.0000 318 1315 0.2418
2091.0000 319 1315 0.2426
2091.0000 320 1315 0.2433
2091.0000 321 1315 0.2441
2092.0000 322 1315 0.2449
2092.0000 323 1315 0.2456
2093.0000 324 1315 0.2464
2093.0000 325 1315 0.2471
2094.0000 326 1315 0.2479
2094.0000 327 1315 0.2487
2095.0000 328 1315 0.2494
2095.0000 329 1315 0.2502
2095.0000 330 1315 0.2510
2096.0000 331 1315 0.2517
2096.0000 332 1315 0.2525
2096.0000 333 1315 0.2532
2096.0000 334 1315 0.2540
2097.0000 335 1315 0.2548
2097.0000 336 1315 0.2555
2097.0000 337 1315 0.2563
2097.0000 338 1315 0.2570
2097.0000 339 1315 0.2578
2099.0000 340 1315 0.2586
2099.0000 341 1315 0.2593
2100.0000 342 1315 0.2601
2100.0000 343 1315 0.2608
2100.0000 344 1315 0.2616
2101.0000 345 1315 0.2624
2101.0000 346 1315 0.2631
2102.0000 347 1315 0.2639
2102.0000 348 1315 0.2646
2103.0000 349 1315 0.2654
2103.0000 350 1315 0.2662
2103.0000 351 1315 0.2669
2104.0000 352 1315 0.2677
2104.0000 353 1315 0.2684
2105.0000 354 1315 0.2692
2105.0000 355 1315 0.2700
2105.0000 356 1315 0.2707
2107.0000 357 1315 0.2715
2107.0000 358 1315 0.2722
2108.0000 359 1315 0.2730
2108.0000 360 1315 0.2738
2109.0000 361 1315 0.2745
2109.0000 362 1315 0.2753
2109.0000 363 1315 0.2760
2110.0000 364 1315 0.2768
2111.0000 365 1315 0.2776
2111.0000 366 1315 0.2783
2112.0000 367 1315 0.2791
2112.0000 368 1315 0.2798
2112.0000 369 1315 0.2806
2112.0000 370 1315 0.2814
2112.0000 371 1315 0.2821
2113.0000 372 1315 0.2829
2114.0000 373 1315 0.2837
2115.0000 374 1315 0.2844
2115.0000 375 1315 0.2852
2115.0000 376 1315 0.2859
2116.0000 377 1315 0.2867
2116.0000 378 1315 0.2875
2116.0000 379 1315 0.2882
2117.0000 380 1315 0.2890
2118.0000 381 1315 0.2897
2118.0000 382 1315 0.2905
2119.0000 383 1315 0.2913
2119.0000 384 1315 0.2920
2119.0000 385 1315 0.2928
2119.0000 386 1315 0.2935
2119.0000 387 1315 0.2943
2120.0000 388 1315 0.2951
2120.0000 389 1315 0.2958
2121.0000 390 1315 0.2966
2121.0000 391 1315 0.2973
2122.0000 392 1315 0.2981
2122.0000 393 1315 0.2989
2122.0000 394 1315 0.2996
2122.0000 395 1315 0.3004
2122.0000 396 1315 0.3011
2123.0000 397 1315 0.3019
2123.0000 398 1315 0.3027
2123.0000 399 1315 0.3034
2124.0000 400 1315 0.3042
2124.0000 401 1315 0.3049
2125.0000 402 1315 0.3057
2125.0000 403 1315 0.3065
2125.0000 404 1315 0.3072
2127.0000 405 1315 0.3080
2127.0000 406 1315 0.3087
2127.0000 407 1315 0.3095
2128.0000 408 1315 0.3103
2128.0000 409 1315 0.3110
2128.0000 410 1315 0.3118
2128.0000 411 1315 0.3125
2128.0000 412 1315 0.3133
2128.0000 413 1315 0.3141
2129.0000 414 1315 0.3148
2129.0000 415 1315 0.3156
2129.0000 416 1315 0.3163
2129.0000 417 1315 0.3171
2129.0000 418 1315 0.3179
2130.0000 419 1315 0.3186
2130.0000 420 1315 0.3194
2130.0000 421 1315 0.3202
2130.0000 422 1315 0.3209
2130.0000 423 1315 0.3217
2131.0000 424 1315 0.3224
2131.0000 425 1315 0.3232
2131.0000 426 1315 0.3240
2132.0000 427 1315 0.3247
2132.0000 428 1315 0.3255
2132.0000 429 1315 0.3262
2132.0000 430 1315 0.3270
2133.0000 431 1315 0.3278
2133.0000 432 1315 0.3285
2133.0000 433 1315 0.3293
2133.0000 434 1315 0.3300
2133.0000 435 1315 0.3308
2134.0000 436 1315 0.3316
2134.0000 437 1315 0.3323
2135.0000 438 1315 0.3331
2135.0000 439 1315 0.3338
2135.0000 440 1315 0.3346
2135.0000 441 1315 0.3354
2136.0000 442 1315 0.3361
2136.0000 443 1315 0.3369
2136.0000 444 1315 0.3376
2137.0000 445 1315 0.3384
2137.0000 446 1315 0.3392
2138.0000 447 1315 0.3399
2138.0000 448 1315 0.3407
2138.0000 449 1315 0.3414
2139.0000 450 1315 0.3422
2139.0000 451 1315 0.3430
2139.0000 452 1315 0.3437
2140.0000 453 1315 0.3445
2141.0000 454 1315 0.3452
2142.0000 455 1315 0.3460
2142.0000 456 1315 0.3468
2142.0000 457 1315 0.3475
2143.0000 458 1315 0.3483
2143.0000 459 1315 0.3490
2143.0000 460 1315 0.3498
2144.0000 461 1315 0.3506
2144.0000 462 1315 0.3513
2144.0000 463 1315 0.3521
2145.0000 464 1315 0.3529
2145.0000 465 1315 0.3536
2145.0000 466 1315 0.3544
2146.0000 467 1315 0.3551
2146.0000 468 1315 0.3559
2146.0000 469 1315 0.3567
2146.0000 470 1315 0.3574
2146.0000 471 1315 0.3582
2147.0000 472 1315 0.3589
2147.0000 473 1315 0.3597
2147.0000 474 1315 0.3605
2148.0000 475 1315 0.3612
2148.0000 476 1315 0.3620
2148.0000 477 1315 0.3627
2148.0000 478 1315 0.3635
2148.0000 479 1315 0.3643
2149.0000 479 1316 0.3640
2149.0000 480 1316 0.3647
2149.0000 481 1316 0.3655
2150.0000 482 1316 0.3663
2150.0000 483 1316 0.3670
2150.0000 484 1316 0.3678
2150.0000 485 1316 0.3685
2151.0000 486 1316 0.3693
2151.0000 487 1316 0.3701
2151.0000 488 1316 0.3708
2152.0000 489 1316 0.3716
2152.0000 490 1316 0.3723
2152.0000 491 1316 0.3731
2152.0000 492 1316 0.3739
2154.0000 493 1316 0.3746
2154.0000 494 1316 0.3754
2155.0000 495 1316 0.3761
2155.0000 496 1316 0.3769
2155.0000 497 1316 0.3777
2155.0000 498 1316 0.3784
2156.0000 499 1316 0.3792
2156.0000 500 1316 0.3799
2156.0000 501 1316 0.3807
2156.0000 502 1316 0.3815
2156.0000 503 1316 0.3822
2156.0000 504 1316 0.3830
2157.0000 505 1316 0.3837
2157.0000 506 1316 0.3845
2158.0000 507 1316 0.3853
2158.0000 508 1316 0.3860
2158.0000 509 1316 0.3868
2158.0000 510 1316 0.3875
2159.0000 511 1316 0.3883
2159.0000 512 1316 0.3891
2159.0000 513 1316 0.3898
2159.0000 514 1316 0.3906
2160.0000 515 1316 0.3913
2160.0000 516 1316 0.3921
2160.0000 517 1316 0.3929
2160.0000 518 1316 0.3936
2161.0000 519 1316 0.3944
2161.0000 520 1316 0.3951
2161.0000 521 1316 0.3959
2161.0000 522 1316 0.3967
2161.0000 523 1316 0.3974
2162.0000 524 1316 0.3982
2162.0000 525 1316 0.3989
2162.0000 526 1316 0.3997
2162.0000 527 1316 0.4005
2162.0000 528 1316 0.4012
2163.0000 529 1316 0.4020
2163.0000 530 1316 0.4027
2163.0000 531 1316 0.4035
2163.0000 532 1316 0.4043
2163.0000 533 1316 0.4050
2163.0000 534 1316 0.4058
2163.0000 535 1316 0.4065
2164.0000 536 1316 0.4073
2164.0000 537 1316 0.4081
2164.0000 538 1316 0.4088
2164.0000 539 1316 0.4096
2164.0000 540 1316 0.4103
2164.0000 541 1316 0.4111
2165.0000 542 1316 0.4119
2165.0000 543 1316 0.4126
2165.0000 544 1316 0.4134
2166.0000 545 1316 0.4141
2166.0000 546 1316 0.4149
2166.0000 547 1316 0.4157
2167.0000 548 1316 0.4164
2167.0000 549 1316 0.4172
2167.0000 550 1316 0.4179
2167.0000 551 1316 0.4187
2167.0000 552 1316 0.4195
2167.0000 553 1316 0.4202
2168.0000 554 1316 0.4210
2168.0000 555 1316 0.4217
2168.0000 556 1316 0.4225
2170.0000 557 1316 0.4233
2170.0000 558 1316 0.4240
2170.0000 559 1316 0.4248
2171.0000 560 1316 0.4255
2171.0000 561 1316 0.4263
2171.0000 562 1316 0.4271
2172.0000 563 1316 0.4278
2172.0000 564 1316 0.4286
2173.0000 565 1316 0.4293
2173.0000 566 1316 0.4301
2173.0000 567 1316 0.4309
2174.0000 568 1316 0.4316
2174.0000 569 1316 0.4324
2175.0000 570 1316 0.4331
2175.0000 571 1316 0.4339
2175.0000 572 1316 0.4347
2175.0000 573 1316 0.4354
2176.0000 574 1316 0.4362
2177.0000 575 1316 0.4369
2177.0000 576 1316 0.4377
2177.0000 577 1316 0.4384
2178.0000 578 1316 0.4392
2178.0000 579 1316 0.4400
2179.0000 580 1316 0.4407
2179.0000 581 1316 0.4415
2179.0000 582 1316 0.4422
2179.0000 583 1316 0.4430
2179.0000 584 1316 0.4438
2180.0000 585 1316 0.4445
2181.0000 586 1316 0.4453
2181.0000 587 1316 0.4460
2181.0000 588 1316 0.4468
2181.0000 589 1316 0.4476
2181.0000 590 1316 0.4483
2182.0000 591 1316 0.4491
2182.0000 592 1316 0.4498
2182.0000 593 1316 0.4506
2182.0000 594 1316 0.4514
2182.0000 595 1316 0.4521
2183.0000 596 1316 0.4529
2184.0000 597 1316 0.4536
2184.0000 598 1316 0.4544
2185.0000 599 1316 0.4552
2185.0000 600 1316 0.4559
2185.0000 601 1316 0.4567
2185.0000 602 1316 0.4574
2186.0000 603 1316 0.4582
2186.0000 604 1316 0.4590
2186.0000 605 1316 0.4597
2186.0000 606 1316 0.4605
2187.0000 607 1316 0.4612
2187.0000 608 1316 0.4620
2188.0000 609 1316 0.4628
2188.0000 610 1316 0.4635
2188.0000 611 1316 0.4643
2188.0000 612 1316 0.4650
2188.0000 613 1316 0.4658
2189.0000 614 1316 0.4666
2189.0000 615 1316 0.4673
2189.0000 616 1316 0.4681
2189.0000 617 1316 0.4688
2189.0000 618 1316 0.4696
2190.0000 619 1316 0.4704
2190.0000 620 1316 0.4711
2190.0000 621 1316 0.4719
2191.0000 622 1316 0.4726
2191.0000 623 1316 0.4734
2191.0000 624 1316 0.4742
2191.0000 625 1316 0.4749
2192.0000 626 1316 0.4757
2192.0000 627 1316 0.4764
2192.0000 628 1316 0.4772
2192.0000 629 1316 0.4780
2192.0000 630 1316 0.4787
2193.0000 631 1316 0.4795
2193.0000 632 1316 0.4802
2193.0000 633 1316 0.4810
2194.0000 634 1316 0.4818
2194.0000 635 1316 0.4825
2194.0000 636 1316 0.4833
2195.0000 637 1316 0.4840
2195.0000 638 1316 0.4848
2195.0000 639 1316 0.4856
2195.0000 640 1316 0.4863
2197.0000 641 1316 0.4871
2197.0000 642 1316 0.4878
2197.0000 643 1316 0.4886
