# time  hit_cache  total_cache  hit_cache/total_cache
2185.0000 297 471 0.6306
2186.0000 298 471 0.6327
2186.0000 299 471 0.6348
2187.0000 299 472 0.6335
2187.0000 300 472 0.6356
2187.0000 301 472 0.6377
2187.0000 301 473 0.6364
2187.0000 301 474 0.6350
2187.0000 301 475 0.6337
2187.0000 302 475 0.6358
2187.0000 302 476 0.6345
2188.0000 302 477 0.6331
2189.0000 302 478 0.6318
2189.0000 303 478 0.6339
2189.0000 303 479 0.6326
2189.0000 303 480 0.6313
2190.0000 304 480 0.6333
2192.0000 305 480 0.6354
2192.0000 306 480 0.6375
2193.0000 306 481 0.6362
2193.0000 307 481 0.6383
2194.0000 307 482 0.6369
2194.0000 307 483 0.6356
2195.0000 307 484 0.6343
2196.0000 307 485 0.6330
2196.0000 307 486 0.6317
2196.0000 307 487 0.6304
2197.0000 308 487 0.6324
2197.0000 308 488 0.6311
2197.0000 308 489 0.6299
2197.0000 309 489 0.6319
2198.0000 309 490 0.6306
2198.0000 309 491 0.6293
2198.0000 310 491 0.6314
2198.0000 310 492 0.6301
2199.0000 311 492 0.6321
2199.0000 312 492 0.6341
2199.0000 312 493 0.6329
2199.0000 313 493 0.6349
2200.0000 313 494 0.6336
2200.0000 313 495 0.6323
2200.0000 313 496 0.6310
2201.0000 314 496 0.6331
2201.0000 315 496 0.6351
2201.0000 315 497 0.6338
2201.0000 315 498 0.6325
2202.0000 315 499 0.6313
2202.0000 316 499 0.6333
2202.0000 317 499 0.6353
2202.0000 318 499 0.6373
2202.0000 319 499 0.6393
2202.0000 319 500 0.6380
2202.0000 319 501 0.6367
2203.0000 320 501 0.6387
2204.0000 320 502 0.6375
2205.0000 320 503 0.6362
2205.0000 321 503 0.6382
2206.0000 321 504 0.6369
2206.0000 322 504 0.6389
2207.0000 322 505 0.6376
2207.0000 323 505 0.6396
2208.0000 324 505 0.6416
2209.0000 325 505 0.6436
2209.0000 325 506 0.6423
2209.0000 326 506 0.6443
2210.0000 326 507 0.6430
2210.0000 326 508 0.6417
2211.0000 327 508 0.6437
2211.0000 328 508 0.6457
2211.0000 329 508 0.6476
2212.0000 330 508 0.6496
2212.0000 331 508 0.6516
2212.0000 331 509 0.6503
2212.0000 331 510 0.6490
2212.0000 332 510 0.6510
2212.0000 333 510 0.6529
2213.0000 334 510 0.6549
2213.0000 335 510 0.6569
2213.0000 336 510 0.6588
2214.0000 337 510 0.6608
2214.0000 338 510 0.6627
2214.0000 338 511 0.6614
2214.0000 338 512 0.6602
2215.0000 339 512 0.6621
2215.0000 340 512 0.6641
2215.0000 340 513 0.6628
2216.0000 340 514 0.6615
2216.0000 341 514 0.6634
2217.0000 342 514 0.6654
2217.0000 342 515 0.6641
2217.0000 342 516 0.6628
2217.0000 342 517 0.6615
2218.0000 342 518 0.6602
2218.0000 342 519 0.6590
2219.0000 343 519 0.6609
2219.0000 344 519 0.6628
2219.0000 344 520 0.6615
2219.0000 344 521 0.6603
2220.0000 344 522 0.6590
2220.0000 345 522 0.6609
2220.0000 346 522 0.6628
2221.0000 347 522 0.6648
2221.0000 348 522 0.6667
2221.0000 348 523 0.6654
2221.0000 349 523 0.6673
2222.0000 349 524 0.6660
2222.0000 349 525 0.6648
2223.0000 349 526 0.6635
2224.0000 349 527 0.6622
2225.0000 349 528 0.6610
2225.0000 350 528 0.6629
2226.0000 351 528 0.6648
2226.0000 351 529 0.6635
2226.0000 351 530 0.6623
2226.0000 351 531 0.6610
2227.0000 352 531 0.6629
2227.0000 353 531 0.6648
2227.0000 354 531 0.6667
2228.0000 355 531 0.6685
2228.0000 356 531 0.6704
2228.0000 356 532 0.6692
2228.0000 356 533 0.6679
2228.0000 356 534 0.6667
2229.0000 357 534 0.6685
2230.0000 357 535 0.6673
2230.0000 358 535 0.6692
2231.0000 359 535 0.6710
2231.0000 359 536 0.6698
2231.0000 360 536 0.6716
2231.0000 360 537 0.6704
2232.0000 361 537 0.6723
2232.0000 362 537 0.6741
2232.0000 363 537 0.6760
2233.0000 363 538 0.6747
2233.0000 364 538 0.6766
2233.0000 365 538 0.6784
2233.0000 365 539 0.6772
2234.0000 365 540 0.6759
2234.0000 365 541 0.6747
2234.0000 365 542 0.6734
2234.0000 365 543 0.6722
2234.0000 365 544 0.6710
2234.0000 365 545 0.6697
2234.0000 365 546 0.6685
2235.0000 366 546 0.6703
2235.0000 367 546 0.6722
2236.0000 368 546 0.6740
2237.0000 369 546 0.6758
2237.0000 369 547 0.6746
2237.0000 369 548 0.6734
2237.0000 370 548 0.6752
2237.0000 370 549 0.6740
2237.0000 370 550 0.6727
2239.0000 371 550 0.6745
2239.0000 371 551 0.6733
2239.0000 371 552 0.6721
2239.0000 372 552 0.6739
2239.0000 373 552 0.6757
2239.0000 374 552 0.6775
2240.0000 375 552 0.6793
2240.0000 376 552 0.6812
2241.0000 376 553 0.6799
2242.0000 376 554 0.6787
2242.0000 376 555 0.6775
2242.0000 376 556 0.6763
2242.0000 376 557 0.6750
2242.0000 376 558 0.6738
2243.0000 376 559 0.6726
2243.0000 377 559 0.6744
2243.0000 378 559 0.6762
2243.0000 378 560 0.6750
2243.0000 378 561 0.6738
2244.0000 379 561 0.6756
2245.0000 379 562 0.6744
2245.0000 379 563 0.6732
2246.0000 380 563 0.6750
2246.0000 381 563 0.6767
2246.0000 382 563 0.6785
2246.0000 383 563 0.6803
2246.0000 384 563 0.6821
2247.0000 385 563 0.6838
2247.0000 385 564 0.6826
2247.0000 385 565 0.6814
2247.0000 385 566 0.6802
2249.0000 386 566 0.6820
2249.0000 387 566 0.6837
2249.0000 388 566 0.6855
2250.0000 389 566 0.6873
2250.0000 389 567 0.6861
2250.0000 390 567 0.6878
2251.0000 391 567 0.6896
2251.0000 391 568 0.6884
2251.0000 391 569 0.6872
2252.0000 391 570 0.6860
2252.0000 392 570 0.6877
2252.0000 393 570 0.6895
2253.0000 394 570 0.6912
2253.0000 395 570 0.6930
2253.0000 395 571 0.6918
2255.0000 396 571 0.6935
2256.0000 397 571 0.6953
2256.0000 398 571 0.6970
2256.0000 399 571 0.6988
2256.0000 399 572 0.6976
2257.0000 399 573 0.6963
2257.0000 399 574 0.6951
2257.0000 399 575 0.6939
2258.0000 399 576 0.6927
2258.0000 399 577 0.6915
2258.0000 400 577 0.6932
2259.0000 400 578 0.6920
2259.0000 400 579 0.6908
2260.0000 400 580 0.6897
2261.0000 401 580 0.6914
2261.0000 401 581 0.6902
2261.0000 402 581 0.6919
2261.0000 403 581 0.6936
2261.0000 404 581 0.6954
2262.0000 404 582 0.6942
2262.0000 405 582 0.6959
2263.0000 406 582 0.6976
2263.0000 406 583 0.6964
2264.0000 407 583 0.6981
2264.0000 408 583 0.6998
2265.0000 409 583 0.7015
2265.0000 410 583 0.7033
2265.0000 410 584 0.7021
2266.0000 411 584 0.7038
2266.0000 411 585 0.7026
2266.0000 412 585 0.7043
2266.0000 413 585 0.7060
2266.0000 414 585 0.7077
2267.0000 414 586 0.7065
2267.0000 415 586 0.7082
2268.0000 415 587 0.7070
2268.0000 416 587 0.7087
2269.0000 417 587 0.7104
2269.0000 418 587 0.7121
2270.0000 419 587 0.7138
2270.0000 419 588 0.7126
2270.0000 419 589 0.7114
2271.0000 420 589 0.7131
2271.0000 420 590 0.7119
2272.0000 421 590 0.7136
2272.0000 422 590 0.7153
2273.0000 423 590 0.7169
2273.0000 424 590 0.7186
2273.0000 424 591 0.7174
2273.0000 424 592 0.7162
2274.0000 424 593 0.7150
2274.0000 424 594 0.7138
2274.0000 425 594 0.7155
2274.0000 425 595 0.7143
2274.0000 426 595 0.7160
