# time  hit_cache  total_cache  hit_cache/total_cache
6311.0000 218 2419 0.0901
6311.0000 219 2419 0.0905
6311.0000 220 2419 0.0909
6312.0000 220 2420 0.0909
6312.0000 220 2421 0.0909
6314.0000 221 2421 0.0913
6315.0000 222 2421 0.0917
6317.0000 223 2421 0.0921
6317.0000 224 2421 0.0925
6318.0000 224 2422 0.0925
6320.0000 224 2423 0.0924
6320.0000 225 2423 0.0929
6320.0000 225 2424 0.0928
6323.0000 226 2424 0.0932
6324.0000 226 2425 0.0932
6324.0000 227 2425 0.0936
6324.0000 227 2426 0.0936
6324.0000 228 2426 0.0940
6326.0000 229 2426 0.0944
6327.0000 229 2427 0.0944
6327.0000 230 2427 0.0948
6330.0000 231 2427 0.0952
6330.0000 231 2428 0.0951
6330.0000 231 2429 0.0951
6331.0000 231 2430 0.0951
6331.0000 231 2431 0.0950
6331.0000 232 2431 0.0954
6331.0000 232 2432 0.0954
6331.0000 233 2432 0.0958
6332.0000 233 2433 0.0958
6332.0000 233 2434 0.0957
6332.0000 233 2435 0.0957
6334.0000 233 2436 0.0956
6334.0000 233 2437 0.0956
6335.0000 233 2438 0.0956
6335.0000 233 2439 0.0955
6335.0000 234 2439 0.0959
6335.0000 234 2440 0.0959
6336.0000 234 2441 0.0959
6336.0000 235 2441 0.0963
6337.0000 235 2442 0.0962
6337.0000 236 2442 0.0966
6337.0000 236 2443 0.0966
6338.0000 236 2444 0.0966
6338.0000 237 2444 0.0970
6338.0000 237 2445 0.0969
6339.0000 237 2446 0.0969
6340.0000 237 2447 0.0969
6340.0000 238 2447 0.0973
6340.0000 238 2448 0.0972
6340.0000 238 2449 0.0972
6342.0000 239 2449 0.0976
6344.0000 239 2450 0.0976
6344.0000 239 2451 0.0975
6344.0000 239 2452 0.0975
6344.0000 239 2453 0.0974
6344.0000 239 2454 0.0974
6346.0000 240 2454 0.0978
6346.0000 240 2455 0.0978
6348.0000 241 2455 0.0982
6349.0000 242 2455 0.0986
6349.0000 242 2456 0.0985
6349.0000 242 2457 0.0985
6349.0000 242 2458 0.0985
6350.0000 243 2458 0.0989
6350.0000 243 2459 0.0988
6350.0000 243 2460 0.0988
6351.0000 243 2461 0.0987
6351.0000 243 2462 0.0987
6352.0000 243 2463 0.0987
6353.0000 243 2464 0.0986
6353.0000 243 2465 0.0986
6353.0000 243 2466 0.0985
6354.0000 243 2467 0.0985
6355.0000 243 2468 0.0985
6356.0000 244 2468 0.0989
6356.0000 244 2469 0.0988
6356.0000 244 2470 0.0988
6357.0000 244 2471 0.0987
6357.0000 244 2472 0.0987
6357.0000 244 2473 0.0987
6358.0000 244 2474 0.0986
6358.0000 245 2474 0.0990
6358.0000 245 2475 0.0990
6358.0000 245 2476 0.0989
6359.0000 245 2477 0.0989
6359.0000 245 2478 0.0989
6359.0000 246 2478 0.0993
6360.0000 246 2479 0.0992
6362.0000 246 2480 0.0992
6362.0000 247 2480 0.0996
6364.0000 247 2481 0.0996
6364.0000 248 2481 0.1000
6366.0000 248 2482 0.0999
6368.0000 249 2482 0.1003
6369.0000 250 2482 0.1007
6369.0000 250 2483 0.1007
6369.0000 250 2484 0.1006
6369.0000 250 2485 0.1006
6370.0000 250 2486 0.1006
6370.0000 250 2487 0.1005
6370.0000 251 2487 0.1009
6372.0000 251 2488 0.1009
6372.0000 251 2489 0.1008
6372.0000 252 2489 0.1012
6372.0000 252 2490 0.1012
6373.0000 252 2491 0.1012
6373.0000 252 2492 0.1011
6374.0000 253 2492 0.1015
6375.0000 253 2493 0.1015
6375.0000 254 2493 0.1019
6376.0000 254 2494 0.1018
6377.0000 255 2494 0.1022
6377.0000 255 2495 0.1022
6377.0000 256 2495 0.1026
6379.0000 256 2496 0.1026
6379.0000 256 2497 0.1025
6381.0000 256 2498 0.1025
6382.0000 256 2499 0.1024
6382.0000 256 2500 0.1024
6383.0000 256 2501 0.1024
6384.0000 257 2501 0.1028
6384.0000 258 2501 0.1032
6385.0000 258 2502 0.1031
6386.0000 258 2503 0.1031
6387.0000 258 2504 0.1030
6388.0000 259 2504 0.1034
6388.0000 259 2505 0.1034
6389.0000 260 2505 0.1038
6389.0000 260 2506 0.1038
6389.0000 260 2507 0.1037
6390.0000 260 2508 0.1037
6390.0000 260 2509 0.1036
6390.0000 260 2510 0.1036
6391.0000 260 2511 0.1035
6393.0000 261 2511 0.1039
6393.0000 261 2512 0.1039
6395.0000 261 2513 0.1039
6395.0000 261 2514 0.1038
6396.0000 261 2515 0.1038
6396.0000 261 2516 0.1037
6397.0000 261 2517 0.1037
6397.0000 262 2517 0.1041
6397.0000 263 2517 0.1045
6398.0000 263 2518 0.1044
6398.0000 263 2519 0.1044
6398.0000 264 2519 0.1048
6399.0000 264 2520 0.1048
6400.0000 264 2521 0.1047
6400.0000 265 2521 0.1051
6401.0000 266 2521 0.1055
6401.0000 267 2521 0.1059
6402.0000 268 2521 0.1063
6402.0000 269 2521 0.1067
6402.0000 269 2522 0.1067
6404.0000 269 2523 0.1066
6404.0000 269 2524 0.1066
6404.0000 270 2524 0.1070
6404.0000 271 2524 0.1074
6404.0000 271 2525 0.1073
6406.0000 271 2526 0.1073
6407.0000 272 2526 0.1077
6407.0000 273 2526 0.1081
6408.0000 274 2526 0.1085
6409.0000 275 2526 0.1089
6409.0000 275 2527 0.1088
6410.0000 275 2528 0.1088
6410.0000 276 2528 0.1092
6412.0000 276 2529 0.1091
6412.0000 276 2530 0.1091
6413.0000 277 2530 0.1095
6413.0000 278 2530 0.1099
6414.0000 278 2531 0.1098
6416.0000 279 2531 0.1102
6416.0000 280 2531 0.1106
6417.0000 280 2532 0.1106
6417.0000 281 2532 0.1110
6417.0000 282 2532 0.1114
6420.0000 282 2533 0.1113
6421.0000 282 2534 0.1113
6422.0000 283 2534 0.1117
6423.0000 284 2534 0.1121
6424.0000 285 2534 0.1125
6426.0000 285 2535 0.1124
6426.0000 286 2535 0.1128
6426.0000 286 2536 0.1128
6427.0000 286 2537 0.1127
6428.0000 287 2537 0.1131
6428.0000 287 2538 0.1131
6429.0000 287 2539 0.1130
6429.0000 288 2539 0.1134
6430.0000 288 2540 0.1134
6432.0000 288 2541 0.1133
6436.0000 288 2542 0.1133
6440.0000 288 2543 0.1133
6440.0000 289 2543 0.1136
6440.0000 290 2543 0.1140
6440.0000 290 2544 0.1140
6441.0000 290 2545 0.1139
6444.0000 290 2546 0.1139
6444.0000 290 2547 0.1139
6445.0000 290 2548 0.1138
6446.0000 291 2548 0.1142
6446.0000 291 2549 0.1142
6447.0000 291 2550 0.1141
6448.0000 292 2550 0.1145
6448.0000 292 2551 0.1145
6449.0000 292 2552 0.1144
6452.0000 293 2552 0.1148
6453.0000 294 2552 0.1152
6453.0000 295 2552 0.1156
6455.0000 295 2553 0.1156
6455.0000 295 2554 0.1155
6455.0000 296 2554 0.1159
6456.0000 297 2554 0.1163
6459.0000 297 2555 0.1162
6459.0000 297 2556 0.1162
6460.0000 297 2557 0.1162
6461.0000 297 2558 0.1161
6461.0000 298 2558 0.1165
6462.0000 299 2558 0.1169
6463.0000 299 2559 0.1168
6464.0000 299 2560 0.1168
6466.0000 299 2561 0.1168
6469.0000 299 2562 0.1167
6476.0000 299 2563 0.1167
6477.0000 300 2563 0.1171
6479.0000 300 2564 0.1170
6480.0000 300 2565 0.1170
6480.0000 301 2565 0.1173
6482.0000 302 2565 0.1177
6485.0000 302 2566 0.1177
6486.0000 302 2567 0.1176
6486.0000 302 2568 0.1176
6486.0000 302 2569 0.1176
6491.0000 303 2569 0.1179
6493.0000 303 2570 0.1179
6493.0000 303 2571 0.1179
6497.0000 304 2571 0.1182
6498.0000 304 2572 0.1182
