0	712	204
1	731	221
2	809	222
3	776	213
4	836	223
5	718	211
6	645	239
7	672	215
8	737	217
9	800	221
10	705	222
11	595	223
12	673	217
13	685	219
14	712	215
15	736	218
16	759	221
17	686	214
18	7	2
19	44	19
20	30	21
21	77	16
22	81	30
23	0	0
24	108	45
25	0	0
26	0	0
27	12	11
28	75	38
29	119	61
30	7	7
31	1	1
32	39	25
33	0	0
34	16	16
35	0	0
36	465	122
37	0	0
38	15	9
39	71	26
40	55	42
41	21	8
42	104	55
43	0	0
44	33	26
45	33	27
46	67	45
47	23	20
48	43	27
49	36	19
50	0	0
51	91	26
52	13	11
53	47	21
54	9	2
55	13	12
56	0	0
57	134	63
58	134	87
59	0	0
60	0	0
61	0	0
62	0	0
63	0	0
64	17	8
65	0	0
66	33	18
67	95	86
68	0	0
69	52	35
70	92	55
71	0	0
72	0	0
73	0	0
74	17	12
75	35	19
76	4	1
77	0	0
78	41	34
79	9	9
80	0	0
81	7	5
82	0	0
83	6	5
84	6	2
85	19	9
86	12	9
87	9	3
88	67	54
89	24	7
90	0	0
91	0	0
92	0	0
93	17	14
94	0	0
95	73	60
96	3	2
97	16	14
98	10	9
99	58	47
100	46	37
101	3	3
102	20	16
103	3	3
104	8	7
105	3	2
106	23	13
107	406	148
108	4	4
109	21	16
110	0	0
111	35	26
112	13	13
113	11	2
114	31	15
115	10	7
116	0	0
117	30	19
118	91	19
119	12	5
120	0	0
121	31	18
122	159	90
123	0	0
124	29	17
125	14	6
126	83	39
127	75	60
128	0	0
129	230	107
130	0	0
131	29	20
132	0	0
133	15	10
134	11	9
135	8	4
136	34	20
137	140	92
138	97	29
139	189	125
140	47	13
141	32	24
142	1	1
143	57	47
144	2	2
145	13	10
146	85	65
147	44	32
148	86	69
149	4	3
150	35	14
151	15	7
152	0	0
153	3	3
154	16	10
155	2	1
156	34	22
157	0	0
158	0	0
159	51	20
160	60	30
161	0	0
162	6	1
163	85	60
164	36	13
165	0	0
166	18	11
167	45	33
168	18	8
169	0	0
170	21	6
171	0	0
172	0	0
173	0	0
174	26	15
175	0	0
176	7	3
177	0	0
178	21	14
179	29	24
180	27	24
181	0	0
182	0	0
183	4	3
184	17	5
185	37	16
186	72	53
187	0	0
188	50	29
189	0	0
190	115	37
191	0	0
192	16	6
193	0	0
194	22	14
195	30	18
196	1	1
197	33	32
198	0	0
199	0	0
200	0	0
201	35	31
202	21	14
203	0	0
204	136	76
205	4	3
206	0	0
207	39	30
208	0	0
209	124	68
210	57	39
211	7	2
212	0	0
213	33	18
214	0	0
215	51	20
216	0	0
217	4	4
218	1	1
219	0	0
220	7	6
221	30	9
222	93	66
223	17	13
224	43	35
225	8	8
226	116	97
227	28	8
228	31	18
229	0	0
230	20	14
231	33	12
232	3	3
233	11	11
234	59	36
235	1	1
236	27	6
237	40	21
238	7	3
239	0	0
240	0	0
241	106	76
242	0	0
243	48	42
244	9	8
245	29	28
246	9	2
247	26	14
248	27	17
249	1	1
250	81	46
251	28	22
252	1	1
253	6	4
254	1	1
255	7	5
256	10	9
257	23	18
258	20	9
259	19	18
260	153	73
261	95	55
262	0	0
263	0	0
264	148	93
265	10	8
266	34	26
267	19	16
268	0	0
269	8	3
270	4	4
271	32	18
272	1	1
273	10	9
274	46	29
275	0	0
276	0	0
277	24	18
278	3	1
279	47	39
280	0	0
281	4	4
282	0	0
283	34	23
284	55	44
285	21	10
286	23	4
287	67	53
288	3	3
289	0	0
290	11	9
291	50	46
292	136	77
293	26	16
294	3	3
295	0	0
296	34	8
297	43	28
298	55	24
299	0	0
300	7	6
301	0	0
302	0	0
303	93	74
304	0	0
305	16	9
306	0	0
307	12	11
308	0	0
309	25	4
310	2	2
311	0	0
312	1	1
313	0	0
