# time  ID  size  fromHost  toHost  TTL  isResponse
1778.0000 D80 1000000 p36 c79 300 Y 
1791.0000 I9 678250 c51 null 300 N 
1853.0000 I10 835779 c78 null 300 N 
2002.0000 D106 1000000 p18 c51 300 Y 
2016.0000 I11 591972 t124 null 300 N 
2101.0000 D35 1000000 p32 c78 300 Y 
2140.0000 D116 1000000 c75 t124 300 Y 
2190.0000 I12 613454 c71 null 300 N 
2310.0000 I13 803022 w108 null 300 N 
2313.0000 D61 1000000 c62 c71 300 Y 
2411.0000 D106 1000000 c72 c51 300 Y 
2419.0000 D61 1000000 w114 c71 300 Y 
2441.0000 D61 1000000 c41 c71 300 Y 
2462.0000 D61 1000000 p32 c71 300 Y 
2464.0000 D61 1000000 p33 c71 300 Y 
2486.0000 I14 817476 w115 null 300 N 
2511.0000 D61 1000000 p3 c71 300 Y 
2520.0000 D63 1000000 w83 p23 300 Y 
2522.0000 D59 1000000 w85 p10 300 Y 
2523.0000 D63 1000000 c75 p23 300 Y 
2533.0000 D63 1000000 w108 p23 300 Y 
2538.0000 D59 1000000 p28 p10 300 Y 
2540.0000 D61 1000000 c48 c71 300 Y 
2540.0000 D95 1000000 w83 c50 300 Y 
2541.0000 D63 1000000 p28 p23 300 Y 
2543.0000 D76 1000000 w83 c47 300 Y 
2549.0000 D76 1000000 w108 c47 300 Y 
2560.0000 D61 1000000 w86 c71 300 Y 
2583.0000 D63 1000000 p38 p23 300 Y 
2586.0000 D76 1000000 w85 c47 300 Y 
2589.0000 D60 1000000 w85 w101 300 Y 
2592.0000 D63 1000000 w85 p23 300 Y 
2593.0000 D63 1000000 p34 p23 300 Y 
2594.0000 D76 1000000 p28 c47 300 Y 
2604.0000 D59 1000000 p8 p10 300 Y 
2604.0000 D60 1000000 p28 w101 300 Y 
2607.0000 D63 1000000 p8 p23 300 Y 
2610.0000 D60 1000000 w113 w101 300 Y 
2619.0000 D63 1000000 w115 p23 300 Y 
2620.0000 D63 1000000 p15 p23 300 Y 
2621.0000 D59 1000000 p10 p10 300 Y 
2621.0000 D59 1000000 w93 p10 300 Y 
2621.0000 D60 1000000 p34 w101 300 Y 
2621.0000 D59 1000000 c62 p10 300 Y 
2622.0000 D76 1000000 w115 c47 300 Y 
2625.0000 D70 1000000 p0 w115 300 Y 
2634.0000 D59 1000000 p15 p10 300 Y 
2640.0000 D63 1000000 w104 p23 300 Y 
2642.0000 D63 1000000 p13 p23 300 Y 
2646.0000 D76 1000000 w104 c47 300 Y 
2648.0000 D76 1000000 p13 c47 300 Y 
2649.0000 D60 1000000 w104 w101 300 Y 
2651.0000 D76 1000000 p34 c47 300 Y 
2651.0000 D60 1000000 p13 w101 300 Y 
2651.0000 D63 1000000 p22 p23 300 Y 
2654.0000 D76 1000000 p22 c47 300 Y 
2655.0000 D76 1000000 c75 c47 300 Y 
2655.0000 D63 1000000 w84 p23 300 Y 
2658.0000 D59 1000000 p7 p10 300 Y 
2658.0000 D63 1000000 p10 p23 300 Y 
2658.0000 D60 1000000 c75 w101 300 Y 
2658.0000 D59 1000000 w84 p10 300 Y 
2661.0000 D63 1000000 p17 p23 300 Y 
2663.0000 D76 1000000 p0 c47 300 Y 
2664.0000 D63 1000000 w110 p23 300 Y 
2668.0000 D63 1000000 w105 p23 300 Y 
2668.0000 D63 1000000 p0 p23 300 Y 
2668.0000 D76 1000000 p10 c47 300 Y 
2669.0000 D60 1000000 w115 w101 300 Y 
2669.0000 D76 1000000 w110 c47 300 Y 
2670.0000 D59 1000000 p1 p10 300 Y 
2671.0000 D60 1000000 p10 w101 300 Y 
2672.0000 D59 1000000 w110 p10 300 Y 
2672.0000 D63 1000000 w107 p23 300 Y 
2674.0000 D63 1000000 c40 p23 300 Y 
2674.0000 D63 1000000 c54 p23 300 Y 
2676.0000 D59 1000000 p34 p10 300 Y 
2676.0000 D63 1000000 p9 p23 300 Y 
2677.0000 D63 1000000 p2 p23 300 Y 
2678.0000 D63 1000000 p5 p23 300 Y 
2678.0000 D63 1000000 c73 p23 300 Y 
2680.0000 D76 1000000 p7 c47 300 Y 
2680.0000 D63 1000000 c57 p23 300 Y 
2680.0000 D60 1000000 p2 w101 300 Y 
2681.0000 D59 1000000 w105 p10 300 Y 
2682.0000 D76 1000000 w117 c47 300 Y 
2683.0000 D76 1000000 c57 c47 300 Y 
2683.0000 D76 1000000 p15 c47 300 Y 
2684.0000 D76 1000000 w105 c47 300 Y 
2685.0000 D76 1000000 p8 c47 300 Y 
2686.0000 D60 1000000 p31 w101 300 Y 
2686.0000 D60 1000000 p1 w101 300 Y 
2689.0000 D76 1000000 p31 c47 300 Y 
2691.0000 D60 1000000 w105 w101 300 Y 
2692.0000 D59 1000000 w96 p10 300 Y 
2692.0000 D63 1000000 w92 p23 300 Y 
2695.0000 D76 1000000 c40 c47 300 Y 
2696.0000 D63 1000000 p27 p23 300 Y 
2697.0000 D76 1000000 c73 c47 300 Y 
2698.0000 D63 1000000 p1 p23 300 Y 
2698.0000 D76 1000000 p9 c47 300 Y 
2700.0000 D60 1000000 c73 w101 300 Y 
2700.0000 D60 1000000 w96 w101 300 Y 
2701.0000 D63 1000000 w98 p23 300 Y 
2701.0000 D76 1000000 p1 c47 300 Y 
2701.0000 D63 1000000 w86 p23 300 Y 
2701.0000 D76 1000000 p26 c47 300 Y 
2703.0000 D63 1000000 w80 p23 300 Y 
2704.0000 D60 1000000 p9 w101 300 Y 
2704.0000 D76 1000000 w92 c47 300 Y 
2705.0000 D63 1000000 p20 p23 300 Y 
2707.0000 D60 1000000 w92 w101 300 Y 
2708.0000 D76 1000000 p5 c47 300 Y 
2708.0000 D63 1000000 p7 p23 300 Y 
2708.0000 D76 1000000 p20 c47 300 Y 
2710.0000 D63 1000000 p25 p23 300 Y 
2711.0000 D25 1000000 c55 w108 300 Y 
2712.0000 D59 1000000 w102 p10 300 Y 
2714.0000 D60 1000000 p5 w101 300 Y 
2716.0000 D76 1000000 p25 c47 300 Y 
2717.0000 D76 1000000 w98 c47 300 Y 
2717.0000 D63 1000000 w90 p23 300 Y 
2718.0000 D60 1000000 p8 w101 300 Y 
2719.0000 D59 1000000 c48 p10 300 Y 
2720.0000 D60 1000000 w98 w101 300 Y 
2722.0000 D63 1000000 c48 p23 300 Y 
2722.0000 D60 1000000 p15 w101 300 Y 
2722.0000 D63 1000000 c68 p23 300 Y 
2723.0000 D63 1000000 c76 p23 300 Y 
2724.0000 D76 1000000 w84 c47 300 Y 
2724.0000 D63 1000000 w118 p23 300 Y 
2725.0000 D76 1000000 c68 c47 300 Y 
2725.0000 D76 1000000 c43 c47 300 Y 
2727.0000 D60 1000000 w84 w101 300 Y 
2727.0000 D76 1000000 w118 c47 300 Y 
2727.0000 D59 1000000 p37 p10 300 Y 
2728.0000 D60 1000000 c43 w101 300 Y 
2730.0000 D63 1000000 w116 p23 300 Y 
2732.0000 D76 1000000 c44 c47 300 Y 
2732.0000 D63 1000000 c56 p23 300 Y 
2732.0000 D76 1000000 c52 c47 300 Y 
2733.0000 D60 1000000 c40 w101 300 Y 
2733.0000 D63 1000000 c49 p23 300 Y 
2734.0000 D76 1000000 p32 c47 300 Y 
2735.0000 D76 1000000 c56 c47 300 Y 
2736.0000 D76 1000000 w116 c47 300 Y 
2737.0000 D60 1000000 p32 w101 300 Y 
2737.0000 D59 1000000 w80 p10 300 Y 
2739.0000 D63 1000000 w100 p23 300 Y 
2739.0000 D59 1000000 w94 p10 300 Y 
2740.0000 D59 1000000 c43 p10 300 Y 
2740.0000 D60 1000000 p25 w101 300 Y 
2742.0000 D76 1000000 w100 c47 300 Y 
2742.0000 D76 1000000 p14 c47 300 Y 
2743.0000 D76 1000000 c77 c47 300 Y 
2744.0000 D76 1000000 c49 c47 300 Y 
2745.0000 D60 1000000 p14 w101 300 Y 
2746.0000 D59 1000000 w109 p10 300 Y 
2746.0000 D63 1000000 c53 p23 300 Y 
2747.0000 D76 1000000 p37 c47 300 Y 
2747.0000 D60 1000000 c49 w101 300 Y 
2749.0000 D63 1000000 p26 p23 300 Y 
2750.0000 D59 1000000 p19 p10 300 Y 
2751.0000 D60 1000000 w111 w101 300 Y 
2751.0000 D59 1000000 p3 p10 300 Y 
2752.0000 D60 1000000 p26 w101 300 Y 
2752.0000 D76 1000000 w102 c47 300 Y 
2752.0000 D76 1000000 c53 c47 300 Y 
2753.0000 D76 1000000 c61 c47 300 Y 
2754.0000 I15 661296 c75 null 300 N 
2754.0000 D76 1000000 w113 c47 300 Y 
2754.0000 D60 1000000 w83 w101 300 Y 
2755.0000 D60 1000000 w102 w101 300 Y 
2755.0000 D60 1000000 c53 w101 300 Y 
2757.0000 D60 1000000 w80 w101 300 Y 
2757.0000 D60 1000000 p37 w101 300 Y 
2758.0000 D63 1000000 w102 p23 300 Y 
2758.0000 D59 1000000 c44 p10 300 Y 
2759.0000 D63 1000000 c61 p23 300 Y 
2759.0000 D63 1000000 c69 p23 300 Y 
2760.0000 D59 1000000 c52 p10 300 Y 
2761.0000 D76 1000000 p23 c47 300 Y 
2762.0000 D76 1000000 c69 c47 300 Y 
2763.0000 D63 1000000 w112 p23 300 Y 
2764.0000 D63 1000000 p37 p23 300 Y 
2766.0000 D60 1000000 c60 w101 300 Y 
2767.0000 D63 1000000 p32 p23 300 Y 
2768.0000 D60 1000000 c52 w101 300 Y 
2769.0000 D59 1000000 c47 p10 300 Y 
2771.0000 D76 1000000 w109 c47 300 Y 
2771.0000 D76 1000000 w93 c47 300 Y 
2771.0000 D63 1000000 w81 p23 300 Y 
2771.0000 D63 1000000 w96 p23 300 Y 
2772.0000 D60 1000000 w106 w101 300 Y 
2774.0000 D63 1000000 w109 p23 300 Y 
2774.0000 D76 1000000 w96 c47 300 Y 
2774.0000 D60 1000000 w93 w101 300 Y 
2775.0000 D63 1000000 c65 p23 300 Y 
2775.0000 D59 1000000 w114 p10 300 Y 
2776.0000 D76 1000000 p6 c47 300 Y 
2776.0000 D60 1000000 w90 w101 300 Y 
2776.0000 D63 1000000 c52 p23 300 Y 
2776.0000 D63 1000000 p14 p23 300 Y 
2777.0000 D63 1000000 c47 p23 300 Y 
2779.0000 D76 1000000 w112 c47 300 Y 
2781.0000 D60 1000000 w109 w101 300 Y 
2782.0000 D60 1000000 w112 w101 300 Y 
2782.0000 D76 1000000 w114 c47 300 Y 
2783.0000 D76 1000000 w90 c47 300 Y 
2784.0000 D63 1000000 w94 p23 300 Y 
2784.0000 D76 1000000 c65 c47 300 Y 
2785.0000 D95 1000000 p23 c50 300 Y 
2785.0000 D60 1000000 w114 w101 300 Y 
2786.0000 D76 1000000 c72 c47 300 Y 
2787.0000 D60 1000000 c65 w101 300 Y 
2787.0000 D76 1000000 w94 c47 300 Y 
2788.0000 D106 1000000 c73 c51 300 Y 
2789.0000 D60 1000000 c72 w101 300 Y 
2789.0000 D80 1000000 w90 c79 300 Y 
2790.0000 D59 1000000 w81 p10 300 Y 
2792.0000 D60 1000000 p22 w101 300 Y 
2792.0000 D120 1000000 w88 c75 300 Y 
2793.0000 D76 1000000 p30 c47 300 Y 
2793.0000 D106 1000000 w90 c51 300 Y 
2793.0000 D76 1000000 w86 c47 300 Y 
2795.0000 D80 1000000 w109 c79 300 Y 
2796.0000 D60 1000000 w86 w101 300 Y 
2798.0000 D106 1000000 w109 c51 300 Y 
2800.0000 D63 1000000 p21 p23 300 Y 
2802.0000 D60 1000000 w108 w101 300 Y 
2803.0000 D60 1000000 c45 w101 300 Y 
2803.0000 D60 1000000 w116 w101 300 Y 
2805.0000 D63 1000000 w91 p23 300 Y 
2808.0000 D59 1000000 w91 p10 300 Y 
2808.0000 D60 1000000 w81 w101 300 Y 
2809.0000 D60 1000000 c66 w101 300 Y 
2809.0000 D80 1000000 c73 c79 300 Y 
2809.0000 D60 1000000 w118 w101 300 Y 
2810.0000 D80 1000000 w105 c79 300 Y 
2811.0000 D76 1000000 p21 c47 300 Y 
2812.0000 D63 1000000 c66 p23 300 Y 
